Desired=Unknown/Install/Remove/Purge/Hold
| Status=Not/Inst/Conf-files/Unpacked/halF-conf/Half-inst/trig-aWait/Trig-pend
|/ Err?=(none)/Reinst-required (Status,Err: uppercase=bad)
||/ Name                                     Version                              Architecture Description
+++-========================================-====================================-============-===========================================================================================================================================================================================================================================================
ii  1password                                8.12.32                              amd64        
ii  debian-archive-keyring                   2025.1                               all          OpenPGP archive certificates of the Debian archive
ii  debian-faq                               12.2                                 all          Debian Frequently Asked Questions
ii  debian-keyring                           2025.07.26                           all          OpenPGP certificates of Debian Developers and Maintainers
ii  debian-tag2upload-keyring                1.1                                  all          OpenPGP signing key for the Debian tag2upload service
ii  debianutils                              5.23.2                               amd64        Miscellaneous utilities specific to Debian
ii  debootstrap                              1.0.141                              all          Bootstrap a basic Debian system
ii  default-jre                              2:1.21-76                            amd64        Standard Java or Java compatible Runtime
ii  default-jre-headless                     2:1.21-76                            amd64        Standard Java or Java compatible Runtime (headless)
ii  desktop-base                             13.0.4                               all          common files for the Debian Desktop
ii  desktop-file-utils                       0.28-1                               amd64        Utilities for .desktop files
ii  desktopvideo                             15.3.1a4                             amd64        Blackmagic Design Desktop Video 15.3.1 - Driver and Firmware Update utility
ii  desktopvideo-gui                         15.3.1a4                             amd64        Blackmagic Design Desktop Video 15.3.1 - GUI Utilities
ii  devscripts                               2.25.15+deb13u1                      all          scripts to make the life of a Debian Package maintainer easier
ii  dfu-programmer                           0.6.1-1+b2                           amd64        device firmware update (DFU) based USB programmer for Atmel chips
ii  dfu-util                                 0.11-3                               amd64        Device firmware update (DFU) USB programmer
ii  dh-autoreconf                            20                                   all          debhelper add-on to call autoreconf and clean up after the build
ii  dh-strip-nondeterminism                  1.14.1-2                             all          file non-deterministic information stripper — Debhelper add-on
ii  diceware                                 1.0.1-1                              all          Create memorizable passphrases from wordlists and various sources of randomness
ii  dictionaries-common                      1.30.10                              all          spelling dictionaries - common utilities
ii  diffstat                                 1.67-1                               amd64        produces graph of changes introduced by a diff file
ii  diffutils                                1:3.10-4                             amd64        File comparison utilities
ii  direnv                                   2.32.1-2+b16                         amd64        Utility to set directory specific environment variables
ii  dirmngr                                  2.4.7-21+deb13u1+b4                  amd64        GNU privacy guard - network certificate management service
ii  discover                                 2.1.2-10.1                           amd64        hardware identification system
ii  discover-data                            2.2013.01.13+nmu1                    all          Data lists for Discover hardware detection system
ii  distro-info                              1.13                                 amd64        provides information about the distributions' releases
ii  distro-info-data                         0.66+deb13u2                         all          information about the distributions' releases (data files)
ii  distrobuilder                            3.2-2+b8                             amd64        System container image builder for LXC and Incus
ii  distrobuilder-images                     0.0~git20250414.b414478-1            all          Official image definitions for distrobuilder
ii  dkms                                     3.4.1-1                              all          Dynamic Kernel Module System (DKMS)
ii  dmeventd                                 2:1.02.205-2                         amd64        Linux Kernel Device Mapper event daemon
ii  dmidecode                                3.6-2                                amd64        SMBIOS/DMI table decoder
ii  dmsetup                                  2:1.02.205-2                         amd64        Linux Kernel Device Mapper userspace library
ii  dns-root-data                            2025080400~deb13u1                   all          DNS root hints and DNSSEC trust anchor
ii  dnsmasq-base                             2.91-1+deb13u1                       amd64        Small caching DNS proxy and DHCP/TFTP server - executable
ii  doc-debian                               11.3+nmu1                            all          Debian Project documentation and other documents
ii  docbook-dsssl                            1.79-10                              all          modular DocBook DSSSL stylesheets, for print and HTML
ii  docbook-utils                            0.6.14-4                             all          Convert DocBook files to other formats (HTML, RTF, PS, man, PDF)
ii  docbook-xml                              4.5-13                               all          standard XML documentation system for software and systems
ii  docbook-xsl                              1.79.2+dfsg-7                        all          stylesheets for processing DocBook XML to various output formats
ii  dochelp                                  0.1.8+b8                             amd64        Utility to browse system documentation
ii  docker-compose                           2.26.1-4                             amd64        Define and run multi-container applications with Docker (program)
ii  dos2unix                                 7.5.2-1                              amd64        convert text file line endings between CRLF and LF
ii  dosfstools                               4.2-1.2                              amd64        utilities for making and checking MS-DOS FAT filesystems
ii  dpkg                                     1.22.22                              amd64        Debian package management system
ii  dpkg-dev                                 1.22.22                              all          Debian package development tools
ii  dput                                     1.2.4                                all          Debian package upload tool
ii  dracut-install                           106-6                                amd64        dracut is an event driven initramfs infrastructure (dracut-install)
ii  dunst                                    1.12.2-1                             amd64        dmenu-ish notification-daemon
ii  dvisvgm                                  3.4.4+ds-1                           amd64        DVI to SVG converter
ii  dwz                                      0.15-1+b1                            amd64        DWARF compression tool
ii  e2fsprogs                                1.47.2-3+b11                         amd64        ext2/ext3/ext4 file system utilities
ii  efibootmgr                               18-2                                 amd64        Interact with the EFI Boot Manager
ii  eject                                    2.41.5-0+deb13u1                     amd64        ejects CDs and operates CD-Changers under Linux
ii  element-desktop                          1.12.25                              amd64        
ii  element-io-archive-keyring               1.2                                  all          The packages.element.io repository keyring
rc  emacs-common                             1:30.1+1-6                           all          GNU Emacs editor's shared, architecture independent infrastructure
ii  emacsen-common                           3.0.8                                all          Common facilities for all emacsen
ii  enchant-2                                2.8.2+dfsg1-3                        amd64        Wrapper for various spell checker engines (binary programs)
ii  equivs                                   2.3.2                                all          Circumvent Debian package dependencies
ii  evince                                   48.1-3+deb13u1                       amd64        Document (PostScript, PDF) viewer
ii  evince-common                            48.1-3+deb13u1                       all          Document (PostScript, PDF) viewer - common files
ii  exfatprogs                               1.2.9-1+deb13u1                      amd64        exFAT file system utilities
ii  exim4-base                               4.98.2-1+deb13u4                     amd64        support files for all Exim MTA (v4) packages
ii  exim4-config                             4.98.2-1+deb13u4                     all          configuration for the Exim MTA (v4)
ii  exim4-daemon-light                       4.98.2-1+deb13u4                     amd64        lightweight Exim MTA (v4) daemon
ii  exo-utils                                4.20.0-1                             amd64        Utility files for libexo
ii  expect                                   5.45.4-4                             amd64        Automates interactive applications
ii  extra-cmake-modules                      6.13.0-1                             amd64        Extra modules and scripts for CMake
ii  extundelete                              0.2.4-3+b2                           amd64        utility to recover deleted files from ext3/ext4 partition
ii  eza                                      0.21.0-1+b1                          amd64        Modern replacement for ls
ii  fakechroot                               2.20.1+ds-18                         all          gives a fake chroot environment - utilities
ii  fakeroot                                 1.37.1.1-1                           amd64        tool for simulating superuser privileges
ii  fancontrol                               1:3.6.2-2                            all          utility to control the fan speed
ii  fdisk                                    2.41.5-0+deb13u1                     amd64        collection of partitioning utilities
ii  fdupes                                   1:2.3.2-1                            amd64        identifies duplicate files within given directories
ii  ffmpeg                                   7:7.1.5-0+deb13u1                    amd64        Tools for transcoding, streaming and playing of multimedia files
ii  fig2dev                                  1:3.2.9a-4                           amd64        Utilities for converting XFig figure files
ii  file                                     1:5.46-5                             amd64        Recognize the type of data in a file using "magic" numbers
ii  find-pane                                1.3.5                                all          find-pane — a click-clop project
ii  findutils                                4.10.0-3                             amd64        utilities for finding files--find, xargs
ii  firefox-esr                              140.13.0esr-1~deb13u1                amd64        Mozilla Firefox web browser - Extended Support Release (ESR)
ii  firejail                                 0.9.74-1                             amd64        sandbox to restrict the application environment
ii  firejail-profiles                        0.9.74-1                             all          profiles for the firejail application sandbox
ii  firmware-amd-graphics                    20250410-2                           all          Binary firmware for AMD/ATI graphics and NPU chips
ii  firmware-ath9k-htc                       1.4.0-110-ge888634+dfsg1-0.1         all          firmware for AR7010 and AR9271 USB wireless adapters
ii  firmware-carl9170                        1.9.9-450-gad1c721+dfsg-0.1          all          firmware for AR9170 USB wireless adapters
ii  firmware-intel-graphics                  20250410-2                           all          Binary firmware for Intel iGPUs and IPUs
ii  firmware-intel-misc                      20250410-2                           all          Binary firmware for miscellaneous Intel devices and chips
ii  firmware-iwlwifi                         20250410-2                           all          Binary firmware for Intel Wireless cards
ii  firmware-linux-free                      20241210-2                           all          Binary firmware for various drivers in the Linux kernel
ii  firmware-misc-nonfree                    20250410-2                           all          Binary firmware for various drivers in the Linux kernel
rc  firmware-nvidia-graphics                 20251021-1~bpo13+1                   all          Binary firmware for Nvidia GPU chips
ii  firmware-nvidia-gsp                      610.57.04-1                          amd64        NVIDIA GSP firmware
ii  flameshot                                12.1.0+ds-2                          amd64        Powerful yet simple-to-use screenshot software
